_id,No OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
113,50228789,2023-02-11T00:00:00,04:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,MARATAIZES,BARRA DE ITAPEMIRIM,RUA JOSE MARQUES SOARES,COMERCIO
114,50252215,2023-02-10T00:00:00,21:36:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,JARDIM DA PENHA,Sem Informacao,COMERCIO
115,50252665,2023-02-13T00:00:00,13:12:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,GUARAPARI,CENTRO,RUA JOSE BARCELOS DE MATOS,COMERCIO
116,50261026,2023-02-14T00:00:00,09:47:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,CENTRO,RUA NAO CADASTRADA,COMERCIO
117,50264182,2023-02-01T00:00:00,08:16:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,AV CENTRAL,COMERCIO
118,50264974,2023-02-11T00:00:00,19:40:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SANTA MARIA DE JETIBA,OUTRO LOCAL,RODOVIA AFONSO SHUAB KM 15,COMERCIO
119,50272043,2023-02-15T00:00:00,10:23:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,ITAPEMIRIM,PALMITAL,NAO CADASTRADO,COMERCIO
120,50281421,2023-02-13T00:00:00,00:46:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,ENSEADA DO SUA,AV AMERICO BUAIZ,COMERCIO
121,50282923,2023-02-16T00:00:00,11:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,COLATINA,AEROPORTO,Sem Informacao,VIA PUBLICA
122,50283147,2023-02-16T00:00:00,12:47:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,COMERCIO
123,50294426,2023-02-17T00:00:00,21:15:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,JARDIM LIMOEIRO,RUA SAO PEDRO,INDUSTRIA
124,50294476,2023-02-09T00:00:00,11:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,FEU ROSA,RUA DOS CRAVOS,COMERCIO
125,50295138,2023-02-14T00:00:00,18:44:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,COBILANDIA,AV CARLOS LINDENBERG,COMERCIO
126,50308009,2023-02-18T00:00:00,17:44:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,ENSEADA DO SUA,AV AMERICO BUAIZ,COMERCIO
127,50309601,2023-02-18T00:00:00,20:11:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,CONSOLACAO,AV MAL CAMPOS,COMERCIO
128,50322313,2023-02-19T00:00:00,14:13:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,RUA ALEIXO NETO,COMERCIO
129,50336342,2023-02-21T00:00:00,06:47:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,BARRA DE SAO FRANCISCO,BAIRRO CAMPO NOVO,ALAMEDA JOAO XXIII,COMERCIO
130,50346714,2023-02-22T00:00:00,05:25:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,IUNA,PITO,TABELIAO DE MORAIS,COMERCIO
131,50349976,2023-02-22T00:00:00,14:28:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,COLATINA,CENTRO,RUA ALEXANDRE CALMON,COMERCIO
132,50355391,2023-02-23T00:00:00,03:35:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,NOVA ITAPARICA,AV. SATURNINO RANGEL MAURO,COMERCIO
133,50359901,2023-02-13T00:00:00,00:41:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,TRABALHO,OUTRO LOCAL
134,50359985,2023-02-23T00:00:00,14:19:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,ITAPEMIRIM,GRAUNA,ES 490,COMERCIO
135,50363633,2023-02-23T00:00:00,20:52:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,ITAPOA,RUA NAO CADASTRADA,COMERCIO
136,50363736,2023-02-23T00:00:00,21:07:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,ANCHIETA,CENTRO,AV BEIRA MAR.,COMERCIO
137,50364858,2023-02-23T00:00:00,21:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,ITAPOA,AV RESPLENDOR,COMERCIO
138,50367002,2023-02-23T00:00:00,02:40:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,AV SATUNINO RANGEL MAURO,VIA PUBLICA
139,50367916,2023-02-23T00:00:00,Indeterminada,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,NOVA CARAPINA I,AV BELO HORIZONTE,COMERCIO
140,50377782,2023-02-06T00:00:00,15:23:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VIANA,MARCILIO DE NORONHA,AV ESPIRITO SANTO,COMERCIO
141,50380926,2023-02-25T00:00:00,16:14:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,ANCHIETA,CENTRO,AV JOSE SILVINO DE MELO,COMERCIO
142,50381299,2023-02-25T00:00:00,17:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,ILHA DE SANTA MARIA,NAO INFORMADO,COMERCIO
143,50382051,2023-02-24T00:00:00,04:19:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,CARIACICA,JARDIM AMERICA,ROD BR 262,COMERCIO
144,50386639,2023-02-26T00:00:00,08:06:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SAO GABRIEL DA PALHA,SANTA HELENA,AVENIDA BARTIMEO GOMES DE AGUIAR,VIA PUBLICA
145,50392207,2023-02-26T00:00:00,20:27:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,AV SATURNINO DE BRITO,COMERCIO
146,50392534,2023-02-25T00:00:00,21:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,AVENIDA SATURNINO DE BRITO,COMERCIO
147,50392683,2023-02-26T00:00:00,08:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,AV SATURNINO DE BRITO,COMERCIO
148,50393502,2023-02-25T00:00:00,21:05:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,AV SATURNINO DE BRITO,COMERCIO
149,50399521,2023-02-25T00:00:00,23:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,NOVO MEXICO,AV NOVO MEXICO,COMERCIO
150,50406848,2023-02-27T00:00:00,17:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SAO MATEUS,CENTRO,AV. JONES DOS SANTOS NEVES,VIA PUBLICA
151,50408381,2023-02-28T00:00:00,02:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,ALVORADA,RUA BEIJAMIM CANAL,COMERCIO
152,50411402,2023-02-28T00:00:00,03:33:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,RIO MARINHO,AV RIO MARINHO,COMERCIO
153,50417854,2023-02-23T00:00:00,22:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,NOVA CARAPINA I,AV BELO HORIZONTE,OUTRO LOCAL
154,50436776,2023-02-14T00:00:00,19:40:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,BALNEARIO DE CARAPEBUS,AV AUGUSTO RUSKI,COMERCIO
155,50437717,2023-02-28T00:00:00,17:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,CARIACICA,SANTA BARBARA,COIMBRA MOTOS,COMERCIO
156,50439973,2023-02-11T00:00:00,11:40:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,FEU ROSA,RUA DOS CRAVOS,COMERCIO
157,50612244,2023-02-10T00:00:00,Indeterminada,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,SOTECO,RUA,COMERCIO
